# Logfile created on 2026-03-16 22:20:01 +0100 by logger.rb/v1.6.0
2026-03-16 22:20:01 +0100: Memory Usage (426952K) : res_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427080K) : sram_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427080K) : trans_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427208K) : ind_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427208K) : ind_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427336K) : ind_text has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427336K) : salblock_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427464K) : via2_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427464K) : metal3_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427592K) : metal3_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427592K) : metal3_mask has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427720K) : metal3_filler has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427720K) : metal3_nofill has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427848K) : metal3_slit has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427848K) : metal3_text has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427848K) : metal3_opc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427976K) : metal3_noqrc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (427976K) : metal3_res has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428104K) : metal3_iprobe has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428104K) : metal3_diffprb has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428488K) : nwell_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428488K) : nwell_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428616K) : nbulay_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428616K) : nbulay_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428616K) : nbulay_block has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428616K) : emwind_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428616K) : emwind_opc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428616K) : deepco_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428744K) : deepco_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428744K) : mim_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428872K) : edgeseal_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (428872K) : edgeseal_bound has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429000K) : substrate_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429000K) : substrate_text has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429128K) : dfpad_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429128K) : dfpad_pillar has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429256K) : dfpad_sbump has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429256K) : thickgateox_drw has 32 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429384K) : pldb_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429384K) : pwell_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429512K) : pwell_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429512K) : pwell_block has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429640K) : ic_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429640K) : via3_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429768K) : metal4_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429768K) : metal4_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429896K) : metal4_mask has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (429896K) : metal4_filler has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430024K) : metal4_nofill has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430024K) : metal4_slit has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430152K) : metal4_text has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430152K) : metal4_opc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430280K) : metal4_noqrc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430280K) : metal4_res has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430408K) : metal4_iprobe has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430408K) : metal4_diffprb has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430536K) : heattrans_drw has 32 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430536K) : heatres_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430664K) : pempoly_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430664K) : fbe_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430792K) : empoly_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430792K) : ldmos_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430920K) : pbiwind_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (430920K) : digisub_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431048K) : nodrc_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431188K) : text_drw has 32 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431316K) : via4_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431316K) : metal5_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431444K) : metal5_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431444K) : metal5_mask has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431572K) : metal5_filler has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431572K) : metal5_nofill has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431700K) : metal5_slit has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431700K) : metal5_text has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431828K) : metal5_opc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431828K) : metal5_noqrc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431956K) : metal5_res has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (431956K) : metal5_iprobe has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432084K) : metal5_diffprb has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432084K) : radhard_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432212K) : memcap_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432212K) : varicap_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432340K) : flash_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432340K) : intbondvia_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432468K) : intbondmet_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : devbondvia_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : devbondmet_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : devtrench_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : redist_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphbot_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphtop_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : antvia1_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : antmetal2_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphcont_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : siwg_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : siwg_filler has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : siwg_nofill has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : sigrating_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : singrating_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphpas_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : emwind3_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : emwihv3_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : redbulay_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : smos_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphpad_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : polimide_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : polimide_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_pin has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_esd has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_diode has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_tsv has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_iprobe has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_diffprb has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_pillar has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_sbump has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_otp has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_pdiode has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_mom has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : recog_pcm has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : colopen_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphmetal1_drw has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphmetal1_filler has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphmetal1_nofill has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphmetal1_slit has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphmetal1_opc has 0 polygons
2026-03-16 22:20:01 +0100: Memory Usage (432596K) : graphmet1l_drw has 0 polygons
