# Logfile created on 2026-03-16 00:37:59 +0100 by logger.rb/v1.6.0
2026-03-16 00:37:59 +0100: Memory Usage (426124K) : backmetal1_nofill has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426252K) : backmetal1_slit has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426252K) : backmetal1_text has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426380K) : backmetal1_opc has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426380K) : backmetal1_noqrc has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426508K) : backmetal1_res has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426508K) : backmetal1_iprobe has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426636K) : backmetal1_diffprb has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426636K) : backpassiv_drw has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426764K) : res_drw has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426764K) : sram_drw has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426892K) : trans_drw has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (426892K) : ind_drw has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427020K) : ind_pin has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427020K) : ind_text has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427148K) : salblock_drw has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427148K) : via2_drw has 256 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427276K) : metal3_drw has 22 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427276K) : metal3_pin has 6 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427404K) : metal3_mask has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427404K) : metal3_filler has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427532K) : metal3_nofill has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427532K) : metal3_slit has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427532K) : metal3_text has 6 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427660K) : metal3_opc has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427660K) : metal3_noqrc has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427788K) : metal3_res has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427788K) : metal3_iprobe has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427916K) : metal3_diffprb has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (427916K) : nwell_drw has 9 polygons
2026-03-16 00:37:59 +0100: Memory Usage (428300K) : nwell_pin has 0 polygons
2026-03-16 00:37:59 +0100: Memory Usage (428300K) : nbulay_drw has 0 polygons
