# Logfile created on 2026-03-16 13:47:10 +0100 by logger.rb/v1.6.0
2026-03-16 13:47:10 +0100: Memory Usage (424156K) : metal1_noqrc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424284K) : metal1_res has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424284K) : metal1_iprobe has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424284K) : metal1_diffprb has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424284K) : passiv_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424284K) : passiv_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424284K) : passiv_sbump has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424412K) : passiv_pillar has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424412K) : passiv_pdl has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424540K) : metal2_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424540K) : metal2_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424668K) : metal2_mask has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424668K) : metal2_filler has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424796K) : metal2_nofill has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424796K) : metal2_slit has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424796K) : metal2_text has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424924K) : metal2_opc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (424924K) : metal2_noqrc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425052K) : metal2_res has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425052K) : metal2_iprobe has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425052K) : metal2_diffprb has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425180K) : baspoly_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425180K) : baspoly_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425180K) : psd_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425180K) : nldb_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425180K) : digibnd_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425180K) : via1_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425180K) : backmetal1_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425308K) : backmetal1_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425308K) : backmetal1_mask has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425436K) : backmetal1_filler has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425436K) : backmetal1_nofill has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425564K) : backmetal1_slit has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425564K) : backmetal1_text has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425692K) : backmetal1_opc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425692K) : backmetal1_noqrc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425820K) : backmetal1_res has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425820K) : backmetal1_iprobe has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425948K) : backmetal1_diffprb has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (425948K) : backpassiv_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426076K) : res_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426076K) : sram_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426204K) : trans_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426204K) : ind_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426332K) : ind_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426332K) : ind_text has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426460K) : salblock_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (426460K) : via2_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427296K) : metal3_drw has 17 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427296K) : metal3_pin has 15 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427424K) : metal3_mask has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427424K) : metal3_filler has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427552K) : metal3_nofill has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427552K) : metal3_slit has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427680K) : metal3_text has 17 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427808K) : metal3_opc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427808K) : metal3_noqrc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427936K) : metal3_res has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (427936K) : metal3_iprobe has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428064K) : metal3_diffprb has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428320K) : nwell_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428448K) : nwell_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428448K) : nbulay_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428448K) : nbulay_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428448K) : nbulay_block has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428448K) : emwind_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428448K) : emwind_opc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428448K) : deepco_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428576K) : deepco_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428704K) : mim_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428704K) : edgeseal_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428832K) : edgeseal_bound has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428832K) : substrate_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428832K) : substrate_text has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (428960K) : dfpad_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429088K) : dfpad_pillar has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429088K) : dfpad_sbump has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429088K) : thickgateox_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429216K) : pldb_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429216K) : pwell_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429344K) : pwell_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429472K) : pwell_block has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429472K) : ic_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429600K) : via3_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429600K) : metal4_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429728K) : metal4_pin has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429728K) : metal4_mask has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429856K) : metal4_filler has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429856K) : metal4_nofill has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429984K) : metal4_slit has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (429984K) : metal4_text has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430112K) : metal4_opc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430112K) : metal4_noqrc has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430240K) : metal4_res has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430240K) : metal4_iprobe has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430368K) : metal4_diffprb has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430368K) : heattrans_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430496K) : heatres_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430496K) : pempoly_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430624K) : fbe_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430624K) : empoly_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430752K) : ldmos_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430752K) : pbiwind_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430880K) : digisub_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (430880K) : nodrc_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (431008K) : text_drw has 0 polygons
2026-03-16 13:47:10 +0100: Memory Usage (431008K) : via4_drw has 0 polygons
